id,favorite.sea
0,Gulf of Mexico
1,Caspian Sea
2,Red Sea
3,Chilean Sea
4,Bering Sea
5,Labrador Sea
6,Black Sea
7,Baltic Sea
8,Norwegian Sea
9,Labrador Sea
10,Ryukyu Sea
11,Ryukyu Sea
12,Caribbean Sea
13,Southern Ocean
14,Labrador Sea
15,Aegean Sea
16,Bering Sea
17,Arabian Sea
18,Tyrrhenian Sea
19,Java Sea
20,Andaman Sea
21,Greenland Sea
22,Southern Ocean
23,Baltic Sea
24,Sulu Sea
25,Bering Sea
26,Norwegian Sea
27,Tasman Sea
28,Celebes Sea
29,Mediterranean Sea
30,Gulf of Mexico
31,South China Sea
32,Gulf of Mexico
33,Bering Sea
34,Caribbean Sea
35,Bering Sea
36,Adriatic Sea
37,Norwegian Sea
38,Ryukyu Sea
39,Baltic Sea
40,Celebes Sea
41,Andaman Sea
42,Red Sea
43,Baltic Sea
44,South China Sea
45,Labrador Sea
46,Greenland Sea
47,Barents Sea
48,Ligurian Sea
49,Tyrrhenian Sea
50,Southern Ocean
51,Java Sea
52,Yellow Sea
53,Adriatic Sea
54,Barents Sea
55,Ryukyu Sea
56,Tyrrhenian Sea
57,Ligurian Sea
58,Adriatic Sea
59,Sulu Sea
60,Sulu Sea
61,Baltic Sea
62,Tasman Sea
63,Adriatic Sea
64,Bering Sea
65,Tyrrhenian Sea
66,Sea of Japan
67,Ryukyu Sea
68,Gulf of St Lawrence
69,Ryukyu Sea
70,Yellow Sea
71,Baltic Sea
72,Baltic Sea
73,Celebes Sea
74,Andaman Sea
75,Baltic Sea
76,Southern Ocean
77,Philippine Sea
78,Caribbean Sea
79,Caribbean Sea
80,Caribbean Sea
81,Mediterranean Sea
82,Black Sea
83,Tyrrhenian Sea
84,Philippine Sea
85,Adriatic Sea
86,Yellow Sea
87,Gulf of Alaska
88,Mediterranean Sea
89,Coral Sea
90,Greenland Sea
91,Celebes Sea
92,Bering Sea
93,Arabian Sea
94,South China Sea
95,Arabian Sea
96,Red Sea
97,Gulf of Mexico
98,Aegean Sea
99,Java Sea
100,South China Sea
101,East China Sea
102,Coral Sea
103,Black Sea
104,South China Sea
105,Southern Ocean
106,Barents Sea
107,Sea of Japan
108,Norwegian Sea
109,Ligurian Sea
110,Banda Sea
111,Chilean Sea
112,Sulu Sea
113,Gulf of Mexico
114,Yellow Sea
115,East China Sea
116,Philippine Sea
117,East China Sea
118,Black Sea
119,Caribbean Sea
120,Red Sea
121,Yellow Sea
122,Caspian Sea
123,Black Sea
124,Adriatic Sea
125,Caspian Sea
126,Adriatic Sea
127,Adriatic Sea
128,Yellow Sea
129,Sulu Sea
130,Andaman Sea
131,Caspian Sea
132,Sulu Sea
133,Greenland Sea
134,Baltic Sea
135,Sea of Japan
136,Java Sea
137,Gulf of Alaska
138,Red Sea
139,Celebes Sea
140,Mediterranean Sea
141,Tyrrhenian Sea
142,Coral Sea
143,Mediterranean Sea
144,Ryukyu Sea
145,Coral Sea
146,Adriatic Sea
147,Bering Sea
148,Bering Sea
149,Celebes Sea
150,Chilean Sea
151,Banda Sea
152,Southern Ocean
153,Caspian Sea
154,Norwegian Sea
155,East China Sea
156,Baltic Sea
157,Java Sea
158,Yellow Sea
159,Celebes Sea
160,Barents Sea
161,Gulf of St Lawrence
162,Andaman Sea
163,Mediterranean Sea
164,Ligurian Sea
165,Chilean Sea
166,Aegean Sea
167,Ryukyu Sea
168,Norwegian Sea
169,Labrador Sea
170,Mediterranean Sea
171,Barents Sea
172,Arabian Sea
173,Tyrrhenian Sea
174,Banda Sea
175,Black Sea
176,Mediterranean Sea
177,East China Sea
178,Bering Sea
